code,name,details,specs,imageUrl,price,SOH
SEP0301,CABINET DOOR WITH FRAME PVC,CROCODILE TILE LEVELING SYSTEM FOR PORCELAIN & MARBLE,CABINET DOOR WITH FRAME PVC 60 X 40 CM STPV2 WHITE,/Home/Image/13367,788.40,200
SEP0302,WHITE CEMENT 25KG KNIGHT BRAND,CROCODILE TURBO PLUS TILE GROUT,,/Home/Image/13245,329.40,200
SEP0303,WHITE CEMENT 25KG KNIGHT BRAND,CROCODILE PREMIUM PLUS TILE GROUT,,/Home/Image/13245,329.40,200
SEP0304,WHITE CEMENT 25KG KNIGHT BRAND,CROCODILE SILVER TILE GROUT,,/Home/Image/13245,329.40,200
SEP0305,WHITE CEMENT 25KG KNIGHT BRAND,CHALAWAN TILE GROUT 1KG,,/Home/Image/13245,329.40,200
SEP0306,POLYCARBONATE EDGE,MELAMINE COLOR BLOCK BOARD 18MM,POLYCARBONATE EDGE THICK x 6M,/Home/Image/13230,183.60,200
SEP0307,POLYCARBONATE EDGE,CROCODILE TILE LEVELING SYSTEM FOR PORCELAIN & MARBLE,POLYCARBONATE EDGE THICK x 6M,/Home/Image/13230,183.60,200
SEP0308,POLYCARBONATE EDGE,YATO WALLBOARD SAW 150MM,POLYCARBONATE EDGE THICK x 6M,/Home/Image/13230,183.60,200
SEP0309,POLYCARBONATE EDGE,FLOOR SKIRTING PVC 10CM X 2.2METER,POLYCARBONATE EDGE THICK x 6M,/Home/Image/13230,183.60,200
SEP0310,WOODEN BORDER,MS ANGLE STEEL,,/Home/Image/13226,151.20,200
SEP0311,WOODEN BORDER,V-TECH WOOD PUTTY 500G,,/Home/Image/13226,151.20,200
SEP0312,WOODEN BORDER,SPC FLOORING,,/Home/Image/13226,151.20,200
SEP0313,WOODEN BORDER,3M MAT WITH HOLE,,/Home/Image/13226,151.20,200
SEP0314,PINE FINGER JOINT PANEL,MALAYSIA  PLYWOOD,PINE FINGER JOINT PANEL,/Home/Image/13150,680.40,200
SEP0315,PINE FINGER JOINT PANEL,MARINE PLYWOOD,PINE FINGER JOINT PANEL,/Home/Image/13150,680.40,200
SEP0316,PINE FINGER JOINT PANEL,NYATOH PLYWOOD,PINE FINGER JOINT PANEL,/Home/Image/13150,680.40,200
SEP0317,PINE FINGER JOINT PANEL,CEMENT FIBER BOARD,PINE FINGER JOINT PANEL,/Home/Image/13150,680.40,200
SEP0318,PPGI ROOFING SHEET - BLUE,GI CORRUGATED ROOFING SHEET,PPGI ROOFING SHEET 0.47MM X 3.5 FT - BLUE,/Home/Image/13147,388.80,200
SEP0319,PPGI ROOFING SHEET - BLUE,CORRUGATED ROOFING SHEET PVC,PPGI ROOFING SHEET 0.47MM X 3.5 FT - BLUE,/Home/Image/13147,388.80,200
SEP0320,PPGI ROOFING SHEET - BLUE,SATA STRAIGHT PATTERN TINNER SNIPS  [,PPGI ROOFING SHEET 0.47MM X 3.5 FT - BLUE,/Home/Image/13147,388.80,200
SEP0321,PPGI ROOFING SHEET - BLUE,POLYCARBONATE SHEET,PPGI ROOFING SHEET 0.47MM X 3.5 FT - BLUE,/Home/Image/13147,388.80,200
SEP0322,POLYCARBONATE CONNECTOR,CROCODILE ADMIX MOLD-O OIL BASE 20L,POLYCARBONATE CONNECTOR,/Home/Image/13144,291.60,200
SEP0323,POLYCARBONATE CONNECTOR,DUNLOP TILE CEMENT - 20KG,POLYCARBONATE CONNECTOR,/Home/Image/13144,291.60,200
SEP0324,POLYCARBONATE CONNECTOR,SCAFFOLDING PLANK FOR JUNG 420X1829MM,POLYCARBONATE CONNECTOR,/Home/Image/13144,291.60,200
SEP0325,POLYCARBONATE CONNECTOR,SS MINI HINGE 3'' XUNERTAI 2PCS,POLYCARBONATE CONNECTOR,/Home/Image/13144,291.60,200
SEP0326,PLYWOOD FANCY 3MM,MALAYSIA  PLYWOOD,,/Home/Image/13142,264.60,200
SEP0327,PLYWOOD FANCY 3MM,MARINE PLYWOOD,,/Home/Image/13142,264.60,200
SEP0328,PLYWOOD FANCY 3MM,OSB PLYWOOD  (OSB 3),,/Home/Image/13142,264.60,200
SEP0329,PLYWOOD FANCY 3MM,FIBER CEMENT SIDING 8MM,,/Home/Image/13142,264.60,200
SEP0330,PARTITION FOAM BOARD PVC WHITE,POLYCARBONATE SHEET,PARTITION FOAM BOARD PVC WHITE,/Home/Image/13136,213.84,200
SEP0331,PARTITION FOAM BOARD PVC WHITE,ACRYLIC PLASTIC SHEET 2MM,PARTITION FOAM BOARD PVC WHITE,/Home/Image/13136,213.84,200
SEP0332,PARTITION FOAM BOARD PVC WHITE,ACRYLIC PLASTIC SHEET 6MM,PARTITION FOAM BOARD PVC WHITE,/Home/Image/13136,213.84,200
SEP0333,PARTITION FOAM BOARD PVC WHITE,ACRYLIC PLASTIC SHEET 10MM,PARTITION FOAM BOARD PVC WHITE,/Home/Image/13136,213.84,200
SEP0334,FENCE WIRE 3.2MM GI PVC COATED,BINDING WIRE,,/Home/Image/13131,64.80,200
SEP0335,FENCE WIRE 3.2MM GI PVC COATED,FENCE NET GREEN GI PVC COATED,,/Home/Image/13131,64.80,200
SEP0336,FENCE WIRE 3.2MM GI PVC COATED,CROCODILE ANTI SLIP,,/Home/Image/13131,64.80,200
SEP0337,FENCE WIRE 3.2MM GI PVC COATED,AMIG PE WALL PLUG/ANCHOR POLYETHYLENE WHITE,,/Home/Image/13131,64.80,200
SEP0338,FENCE NET GREEN GI PVC COATED,FENCE WIRE 3.2MM GI PVC COATED,FENCE NET GREEN GI PVC COATED 6FT x 50FT x 3.5MM,/Home/Image/13127,3078.00,200
SEP0339,FENCE NET GREEN GI PVC COATED,YATO SAFETY HELMET,FENCE NET GREEN GI PVC COATED 6FT x 50FT x 3.5MM,/Home/Image/13127,3078.00,200
SEP0340,FENCE NET GREEN GI PVC COATED,COVERGUARD GLOVES EUROLITE EST80 WHITE POLYSTER CARB PU,FENCE NET GREEN GI PVC COATED 6FT x 50FT x 3.5MM,/Home/Image/13127,3078.00,200
SEP0341,FENCE NET GREEN GI PVC COATED,COVERGUARD COVERALL NAVY II  NAVY BLUE 1PC XL,FENCE NET GREEN GI PVC COATED 6FT x 50FT x 3.5MM,/Home/Image/13127,3078.00,200
SEP0342,FIBER CEMENT SIDING 8MM,COMMERCIAL PLYWOOD,FIBER CEMENT SIDING - PLANK CASSIA 8MM THICK  x 200MM X 4M (NALA FILAA),/Home/Image/13125,162.00,200
SEP0343,FIBER CEMENT SIDING 8MM,MARINE PLYWOOD,FIBER CEMENT SIDING - PLANK CASSIA 8MM THICK  x 200MM X 4M (NALA FILAA),/Home/Image/13125,162.00,200
SEP0344,FIBER CEMENT SIDING 8MM,OSB HYPLEX PLYWOOD (HYPLEX 3),FIBER CEMENT SIDING - PLANK CASSIA 8MM THICK  x 200MM X 4M (NALA FILAA),/Home/Image/13125,162.00,200
SEP0345,FIBER CEMENT SIDING 8MM,CEMENT FIBER BOARD,FIBER CEMENT SIDING - PLANK CASSIA 8MM THICK  x 200MM X 4M (NALA FILAA),/Home/Image/13125,162.00,200
SEP0346,SIKA GROUT 214 25KG GREY,CROCODILE SILVER TILE GROUT,,/Home/Image/13106,507.60,200
SEP0347,SIKA GROUT 214 25KG GREY,CHALAWAN TILE GROUT 1KG,,/Home/Image/13106,507.60,200
SEP0348,SIKA GROUT 214 25KG GREY,CONCRETE MIXER ELECTRIC WITH WHEEL,,/Home/Image/13106,507.60,200
SEP0349,SIKA GROUT 214 25KG GREY,CROCODILE TILE CEMENT 20KG RED,,/Home/Image/13106,507.60,200
SEP0350,SIKA TILE CEMENT - 25KG,CONDUIT JUNCTION BOX 20MM,SIKA TILE CEMENT - 25KG (SIKA CERAM 88),/Home/Image/13103,183.60,200
SEP0351,SIKA TILE CEMENT - 25KG,VANACHAI DOOR FRAME FOR 2MV2 WPC PLAIN,SIKA TILE CEMENT - 25KG (SIKA CERAM 88),/Home/Image/13103,183.60,200
SEP0352,SIKA TILE CEMENT - 25KG,CROCODILE ACRYLIC BONDCRETE,SIKA TILE CEMENT - 25KG (SIKA CERAM 88),/Home/Image/13103,183.60,200
SEP0353,SIKA TILE CEMENT - 25KG,SCAFFOLD FRAME SET 1219x1700MM,SIKA TILE CEMENT - 25KG (SIKA CERAM 88),/Home/Image/13103,183.60,200
SEP0354,SCG ELEPHANT GYPSUM BOARD,STAR BRAND GYPSUM BOARD,SCG ELEPHANT GYPSUM BOARD 9MM 4' x 8',/Home/Image/12887,205.20,200
SEP0355,SCG ELEPHANT GYPSUM BOARD,GYPSUM PLUG 8MM,SCG ELEPHANT GYPSUM BOARD 9MM 4' x 8',/Home/Image/12887,205.20,200
SEP0356,SCG ELEPHANT GYPSUM BOARD,GYPSUM JOINT TAPE JIA AN SHI DE BAO,SCG ELEPHANT GYPSUM BOARD 9MM 4' x 8',/Home/Image/12887,205.20,200
SEP0357,SCG ELEPHANT GYPSUM BOARD,CONDUIT PIPE BLACK LITAFLEX 3 METER,SCG ELEPHANT GYPSUM BOARD 9MM 4' x 8',/Home/Image/12887,205.20,200
SEP0358,SCG SMART BOARD,SHERA/TPI CEMENT FIBER BOARD,SCG SMART BOARD  (CEMENT FILAA),/Home/Image/12880,194.40,200
SEP0359,SCG SMART BOARD,CEMENT FIBER BOARD,SCG SMART BOARD  (CEMENT FILAA),/Home/Image/12880,194.40,200
SEP0360,SCG SMART BOARD,CONDUIT BEND LITAFLEX - BLACK,SCG SMART BOARD  (CEMENT FILAA),/Home/Image/12880,194.40,200
SEP0361,SCG SMART BOARD,PVC REINFORCED PIPE,SCG SMART BOARD  (CEMENT FILAA),/Home/Image/12880,194.40,200
SEP0362,DOOR CLOSER KOSKO/BELLE/MOBILI BRAND SILVER,CROCODILE FLEX SHIELD WATER PROOFING 1K,,/Home/Image/12807,307.80,200
SEP0363,DOOR CLOSER KOSKO/BELLE/MOBILI BRAND SILVER,AMIG SINGLE EFFECT HINGE 3036,,/Home/Image/12807,307.80,200
SEP0364,DOOR CLOSER KOSKO/BELLE/MOBILI BRAND SILVER,ALUMINIUM FOIL FACING ROLL 1.2M X 50M,,/Home/Image/12807,307.80,200
SEP0365,DOOR CLOSER KOSKO/BELLE/MOBILI BRAND SILVER,SCG SMART BOARD,,/Home/Image/12807,307.80,200
SEP0366,CEILING PANEL PVC 30CM X 3M X 9MM,AMIG DOOR VIEWER 2,,/Home/Image/12786,259.20,200
SEP0367,CEILING PANEL PVC 30CM X 3M X 9MM,CROCODILE GATOR TILE CEMENT 25KG,,/Home/Image/12786,259.20,200
SEP0368,CEILING PANEL PVC 30CM X 3M X 9MM,CROCODILE ACRYLIC BONDCRETE,,/Home/Image/12786,259.20,200
SEP0369,CEILING PANEL PVC 30CM X 3M X 9MM,CROCODILE TILE LEVELING CLIPS,,/Home/Image/12786,259.20,200
SEP0370,ALUMINIUM FOIL FACING ROLL 1.2M X 50M,CROCODILE FLEX SHIELD WATER PROOFING 1K,,/Home/Image/12729,540.00,200
SEP0371,ALUMINIUM FOIL FACING ROLL 1.2M X 50M,CROCODILE TILE LEVELING SYSTEM FOR CERAMIC AND PORCELAIN,,/Home/Image/12729,540.00,200
SEP0372,ALUMINIUM FOIL FACING ROLL 1.2M X 50M,DOOR STOPPER RUBBER RED,,/Home/Image/12729,540.00,200
SEP0373,ALUMINIUM FOIL FACING ROLL 1.2M X 50M,SUPER EC 98 STOPPING COMPOUND 20KG,,/Home/Image/12729,540.00,200
SEP0374,ALUMINIUM FENCING GRILL 1.2M WIDE,ALUMINIUM SECURITY GRILL WINDOW - HIYA,,/Home/Image/12726,270.00,200
SEP0375,ALUMINIUM FENCING GRILL 1.2M WIDE,AMIG SINGLE EFFECT HINGE 3036,,/Home/Image/12726,270.00,200
SEP0376,ALUMINIUM FENCING GRILL 1.2M WIDE,DOOR STOPPER RUBBER RED,,/Home/Image/12726,270.00,200
SEP0377,ALUMINIUM FENCING GRILL 1.2M WIDE,COVERGUARD RAINCOAT PP NAVY BLUE 1PC,,/Home/Image/12726,270.00,200
SEP0378,GARDEN NET PVC COATED GREEN,WIRE MESH STEEL (3 FT X 30M),GARDEN NET PVC COATED GREEN 6X6CM HOLE (4FT X 30M ROLL),/Home/Image/12718,48.60,200
SEP0379,GARDEN NET PVC COATED GREEN,CHICKEN WIRE MESH GI 3/4'' x 3/4'' STEEL,GARDEN NET PVC COATED GREEN 6X6CM HOLE (4FT X 30M ROLL),/Home/Image/12718,48.60,200
SEP0380,GARDEN NET PVC COATED GREEN,AMIG WELDED WIRE MESH COATED,GARDEN NET PVC COATED GREEN 6X6CM HOLE (4FT X 30M ROLL),/Home/Image/12718,48.60,200
SEP0381,GARDEN NET PVC COATED GREEN,HOT DIPPED WIRE MESH,GARDEN NET PVC COATED GREEN 6X6CM HOLE (4FT X 30M ROLL),/Home/Image/12718,48.60,200
SEP0382,FORMICA SHEET,SOFT FORMICA,FORMICA SHEET 122x244CM,/Home/Image/12706,313.20,200
SEP0383,DOOR STOPPER RUBBER RED,CONDUIT GLAND,,/Home/Image/12700,27.00,200
SEP0384,DOOR STOPPER RUBBER RED,AMIG DOOR SEALER DRAUGHT EXCLUDER 3,,/Home/Image/12700,27.00,200
SEP0385,DOOR STOPPER RUBBER RED,AMIG PAD LOCK BRASS MOD.2,,/Home/Image/12700,27.00,200
SEP0386,DOOR STOPPER RUBBER RED,MS ANGLE STEEL,,/Home/Image/12700,27.00,200
SEP0387,CORRUGATED ROOFING SHEET PVC,POLYCARBONATE SHEET,CORRUGATED ROOFING SHEET PVC 3FT x 10FT,/Home/Image/12695,291.60,200
SEP0388,CORRUGATED ROOFING SHEET PVC,GI CORRUGATED ROOFING SHEET,CORRUGATED ROOFING SHEET PVC 3FT x 10FT,/Home/Image/12695,291.60,200
SEP0389,CORRUGATED ROOFING SHEET PVC,PPGI ROOFING SHEET - BLUE,CORRUGATED ROOFING SHEET PVC 3FT x 10FT,/Home/Image/12695,291.60,200
SEP0390,CORRUGATED ROOFING SHEET PVC,SATA STRAIGHT PATTERN TINNER SNIPS  [,CORRUGATED ROOFING SHEET PVC 3FT x 10FT,/Home/Image/12695,291.60,200
SEP0391,CONDUIT ROLL BLACK Z1,CONDUIT JOINT,,/Home/Image/12693,205.20,200
SEP0392,CONDUIT ROLL BLACK Z1,CROCODILE ROOF SHIELD 4KG GREEN,,/Home/Image/12693,205.20,200
SEP0393,CONDUIT ROLL BLACK Z1,SCG SMART BOARD,,/Home/Image/12693,205.20,200
SEP0394,CONDUIT ROLL BLACK Z1,CONDUIT ROLL ORANGE Z1,,/Home/Image/12693,205.20,200
SEP0395,BRASS HINGES,HOY HINGES BEARING (1X3 PCS),,/Home/Image/12681,23.76,200
SEP0396,BRASS HINGES,AMIG PIANO HINGE 2,,/Home/Image/12681,23.76,200
SEP0397,BRASS HINGES,AMIG T-HINGE 550,,/Home/Image/12681,23.76,200
SEP0398,BRASS HINGES,SS MINI HINGE 2'' XUNERTAI 2PCS,,/Home/Image/12681,23.76,200
SEP0399,GI CORRUGATED ROOFING SHEET,CORRUGATED ROOFING SHEET PVC,GI CORRUGATED ROOFING SHEET,/Home/Image/12661,280.80,200
SEP0400,GI CORRUGATED ROOFING SHEET,PPGI ROOFING SHEET - BLUE,GI CORRUGATED ROOFING SHEET,/Home/Image/12661,280.80,200
